,alpha,beta_mercado,beta_tamanho,beta_valor,beta_liquidez,beta_momentum,beta_beta,tvalue_alpha,tvalue_mercado,tvalue_tamanho,tvalue_valor,tvalue_liquidez,tvalue_momentum,tvalue_beta,pvalue_alpha,pvalue_mercado,pvalue_tamanho,pvalue_valor,pvalue_liquidez,pvalue_momentum,pvalue_beta,fvalue,f_pvalue,R_squared_adj
2012-05-15,-0.0033719445173968823,0.43370135085635836,-0.08340020624676023,-0.0092923768084707,-0.1186767788369059,0.06533668313895342,0.1756061264874725,-0.5344713729074714,4.95712087325937,-0.8914208038238977,-0.06463429502044445,-0.864636392150077,0.6824064098054738,1.5682872746573568,0.5958336118816527,1.2234363761585822e-05,0.37778202895180535,0.9487718409455622,0.39215004408230125,0.498728621124259,0.12431833414959283,5.665282150721877,0.00022134136441077365,0.36835201104903703
2012-05-16,-0.0020393889153124964,0.3913951862891587,-0.10402313585469772,-5.739364287059984e-05,-0.13688445205487304,0.04303072982224018,0.21045690256825428,-0.3225173618951937,4.251287164254424,-1.108124367991345,-0.0004027294942786515,-1.002362751725626,0.44724190438331435,1.8493105447569254,0.7486997253905464,0.00011968429746186348,0.2742665398586833,0.9996806215480647,0.32204780613965966,0.6570543293568267,0.07163131218341075,4.639102113073607,0.001104987716365195,0.3172039738269645
2012-05-17,-0.002023450818826446,0.4509146010665401,-0.08976504633729201,0.04461676158236365,-0.10407701999038609,0.04407228502212744,0.18189584985073165,-0.320288617243612,5.335155762629217,-0.9669038571958151,0.30168401346563817,-0.7859968852192538,0.4613395082202685,1.6430457373184377,0.7503376243214916,3.5641149665955397e-06,0.3391270933198779,0.7643817192025466,0.4362814816688255,0.646935474414804,0.10784033108557307,6.860591960841808,4.000159153508145e-05,0.42282407399329225
2012-05-18,4.674998049454841e-05,0.44992235971483396,-0.04909645261564445,0.0401621561987313,0.017539237174286654,0.018114456241608907,0.05295948909353179,0.008247364314957777,5.088715622707057,-0.5080658300587667,0.2748300692840338,0.1417620884046892,0.21364398879107474,0.5363906440084574,0.9934569108813982,7.189123876156103e-06,0.6139449450964516,0.7847331839093342,0.8879150398147384,0.8318116077182123,0.594390325423634,5.866524792793048,0.0001471178561591817,0.36868008324731694
2012-05-21,-0.0003170846086021031,0.46003395324112933,-0.06023526854806702,0.027083411482890604,0.019192018039812957,0.02338163456221234,0.0605244269839284,-0.05662095535973317,5.328784678371052,-0.638569193774656,0.18854642627630325,0.15621848596332563,0.27903708973416447,0.6219042671910636,0.9550978069488005,3.0561263886450913e-06,0.5263400658740125,0.851296071100352,0.8765595375554207,0.7814947768069044,0.5371431460125584,6.250660878034881,7.855985109112099e-05,0.38184789259272733
2012-05-22,-0.0005030488642810632,0.3428984109884729,-0.07385168988008906,0.09417076409397299,-0.01726744861383074,0.013704095898216369,0.10706355120273271,-0.10339004578647998,4.1178745916886355,-0.779619889321275,0.6957359504856362,-0.15369139031978335,0.17965085918053733,1.0402605241971268,0.9180841809527831,0.0001498223858505785,0.4394419052024414,0.48994920763781513,0.8784974182744449,0.8581829283158187,0.3034305329124275,4.31391719530706,0.001477560141096847,0.269119658898634
2012-05-23,-0.0005030488642810632,0.3428984109884729,-0.07385168988008906,0.09417076409397299,-0.01726744861383074,0.013704095898216369,0.10706355120273271,-0.10339004578647998,4.1178745916886355,-0.779619889321275,0.6957359504856362,-0.15369139031978335,0.17965085918053733,1.0402605241971268,0.9180841809527831,0.0001498223858505785,0.4394419052024414,0.48994920763781513,0.8784974182744449,0.8581829283158187,0.3034305329124275,4.31391719530706,0.001477560141096847,0.269119658898634
2012-05-24,-0.004109794294825102,0.38410311313244977,-0.03492261735219074,0.06565424368654009,-0.02821624785665902,0.0767546195076822,0.049031459845812045,-0.7653493344602772,4.903903605915082,-0.37255164886962305,0.4604749046174303,-0.2303950030591914,0.9478724500838768,0.4976044482948947,0.44788991594836614,1.163302555559671e-05,0.7111569309672787,0.6472988806755218,0.818784749118179,0.34804276006930757,0.621083060502944,5.4012887669892775,0.0002599990884094954,0.3325587034995122
2012-05-25,-0.005035535207414937,0.3531800059908744,0.016087501388081085,0.1592661593073625,0.10816279936222259,0.09637708293745373,0.01735261622403557,-0.9755535587025572,4.05988880128381,0.18553497118266732,1.1900689718807924,1.0878530697186979,1.2224098099332823,0.1694500053063953,0.3340775294460864,0.00017635758356839817,0.8535753476695546,0.23975341003109496,0.2819820161359126,0.22740022617212266,0.8661403239324317,5.627439846922346,0.00016666160152086282,0.3354649931377366
2012-05-28,-0.0040462610019987855,0.3712664899925133,0.02102425451770898,0.16700245004552883,0.13550530767958946,0.07989848469303082,0.03698121952445378,-0.9134004565117031,5.236164326397456,0.25054057649776856,1.3248444219343436,1.450450284686122,1.213459805260616,0.37212650743367076,0.3651685246874491,2.8760667116460222e-06,0.8031380397116886,0.19090670503422916,0.1528257718046613,0.23033433219211005,0.7112824808518301,8.670095448818069,1.3950876285607754e-06,0.4382053107582795
