,fator_mercado,fator_tamanho,fator_valor,fator_liquidez,fator_momentum
2010-10-14,0.0011100235,0.0052095833,0.0022487701,0.0054391511,-0.0114639448
2010-10-15,0.0019936049,-0.0007820728,0.0027699554,-0.0016340676,0.0055379309
2010-10-18,0.0010742269,0.0034760176,0.0005889649,0.0043410016,-0.0031852350
2010-10-19,-0.0237208605,-0.0084397849,-0.0090673640,-0.0009908918,0.0027972460
2010-10-20,0.0060383454,0.0063627856,-0.0005529029,-0.0004614731,0.0077509671
2010-10-21,-0.0102825658,0.0065832995,-0.0063825613,0.0079944581,0.0132705458
2010-10-22,-0.0015013802,0.0128844641,0.0022543299,0.0060236016,-0.0062813493
2010-10-25,0.0049989144,-0.0084478352,-0.0080646146,0.0004849555,-0.0014183288
2010-10-26,0.0148381172,-0.0049070083,0.0063190814,-0.0008107163,-0.0034405887
2010-10-27,-0.0067562270,0.0047067483,0.0024509262,0.0019041067,-0.0130154835
2010-10-28,-0.0039582583,-0.0049893553,-0.0010506208,-0.0057319230,0.0039668395
2010-10-29,0.0036751844,-0.0004990492,-0.0064067459,-0.0028084577,0.0091705266
2010-11-01,0.0132591510,0.0001694849,0.0067555914,0.0037853615,-0.0066422736
2010-11-03,0.0048935199,0.0049771676,0.0021312067,-0.0012535527,0.0062147817
2010-11-04,0.0159684960,-0.0002886849,0.0069876625,-0.0037494041,-0.0085747559
2010-11-05,-0.0043551698,0.0038619267,-0.0017494080,0.0023760679,-0.0052119661
2010-11-08,0.0034204395,-0.0077057248,0.0072533470,0.0031806624,-0.0052163061
2010-11-09,-0.0128132366,-0.0117942560,-0.0074364613,0.0071406057,0.0037522372
2010-11-10,0.0004452463,-0.0237189494,-0.0148663353,-0.0175480656,-0.0084468061
2010-11-11,-0.0103513505,0.0128131369,-0.0015982222,0.0008940601,0.0088011147
2010-11-12,-0.0109444065,-0.0129804853,-0.0047298064,-0.0051638950,0.0020476575
2010-11-16,-0.0148247583,0.0001475234,-0.0041322224,-0.0008027721,0.0112188188
2010-11-17,0.0050246315,0.0050752712,0.0002791910,0.0022285786,0.0069583943
2010-11-18,0.0148918424,0.0016805148,-0.0069340225,-0.0001149056,0.0036485828
2010-11-19,0.0018991326,0.0007931709,-0.0005642676,-0.0009539895,0.0108278552
2010-11-22,-0.0147043299,0.0006069262,-0.0058631757,0.0049859909,0.0076532327
2010-11-23,-0.0220203530,0.0007775165,-0.0002674200,0.0064493921,0.0010064524
2010-11-24,0.0196853429,-0.0028660800,0.0071887691,-0.0062010195,-0.0105893295
2010-11-25,-0.0048120744,0.0071758809,-0.0012581386,0.0040554395,0.0036764818
2010-11-26,-0.0120979212,0.0066363951,-0.0030630780,0.0069946684,0.0072252657
2010-11-29,-0.0039567817,-0.0083617000,-0.0023342678,-0.0000080424,-0.0009778114
2010-11-30,-0.0057737171,0.0093619358,0.0033167999,0.0031867109,0.0001707935
2010-12-01,0.0218889993,-0.0123158554,0.0072471770,-0.0141595788,-0.0024085194
2010-12-02,0.0028568371,0.0039329086,-0.0011628959,0.0052556498,-0.0064769755
