,factor,long,short
2005-10-24,0.021898197855771864,0.022587057855771864,0.00068886
2005-10-25,-0.011984318354281917,-0.011295458354281918,0.00068886
2005-10-26,0.007176079995931852,0.007864939995931852,0.00068886
2005-10-27,-0.020769586538849624,-0.020080726538849625,0.00068886
2005-10-28,0.005661327073078661,0.006350187073078661,0.00068886
2005-10-31,0.02919039506514766,0.02987925506514766,0.00068886
2005-11-01,0.022693268899781308,0.023382128899781307,0.00068886
2005-11-03,0.005783631909385036,0.006472491909385036,0.00068886
2005-11-04,-0.0075059102572346765,-0.006816720257234676,0.0006891899999999999
2005-11-07,0.0013824720720019771,0.002072002072001977,0.00068953
2005-11-08,-7.634629103117434e-05,0.0006138537089688256,0.0006902
2005-11-09,-0.010538782249846652,-0.009847922249846652,0.00069086
2005-11-10,0.0012327548685840991,0.001923954868584099,0.0006912
2005-11-11,-0.007656542205044752,-0.006965012205044752,0.0006915300000000001
2005-11-14,-0.010261848901379825,-0.009570318901379826,0.0006915300000000001
2005-11-16,0.008011933789999651,0.00870313378999965,0.0006912
2005-11-17,0.019156919017124754,0.019847779017124756,0.00069086
2005-11-18,-0.00020801319233124647,0.0004825168076687536,0.0006905300000000001
2005-11-21,-0.0004326418146742418,0.00025721818532575824,0.00068986
2005-11-22,0.011492717949212403,0.012182577949212403,0.00068986
2005-11-23,0.013728543176664838,0.014417733176664838,0.0006891899999999999
2005-11-24,-0.0006098584732178919,6.261152678210813e-05,0.00067247
2005-11-25,-0.001455395085302873,-0.0007825950853028729,0.0006728000000000001
2005-11-28,-0.018279986290726847,-0.017606516290726848,0.00067347
2005-11-29,0.008701787933541701,0.009375597933541702,0.00067381
2005-11-30,0.007697488748894336,0.008372298748894336,0.00067481
2005-12-01,0.021257405828868623,0.021931885828868625,0.00067448
2005-12-02,0.0059178446586135545,0.006591654658613555,0.00067381
2005-12-05,-0.004663479746588696,-0.003990009746588696,0.00067347
2005-12-06,0.015289674592825892,0.01596281459282589,0.00067314
2005-12-07,-0.014699567474942093,-0.014026427474942094,0.00067314
2005-12-08,-0.009129347833440143,-0.008456207833440144,0.00067314
2005-12-09,0.012935234384236344,0.013608374384236344,0.00067314
2005-12-12,0.0008152264418929854,0.0014883664418929854,0.00067314
2005-12-13,0.012944887963968383,0.013618027963968382,0.00067314
2005-12-14,0.0055806002752842475,0.0062537402752842475,0.00067314
2005-12-15,-0.01362202044604354,-0.01296500044604354,0.0006570199999999999
2005-12-16,0.002324526563130734,0.002982556563130734,0.00065803
2005-12-19,-0.009279049655172376,-0.008620689655172376,0.0006583600000000001
2005-12-20,0.0012201432570822755,0.0018785032570822757,0.0006583600000000001
2005-12-21,0.012950373782925597,0.013608733782925597,0.0006583600000000001
2005-12-22,-0.000777702423247959,-0.00011934242324795896,0.0006583600000000001
2005-12-23,-0.006089088374063776,-0.005430728374063776,0.0006583600000000001
2005-12-26,-0.001648429304851349,-0.0009900693048513487,0.0006583600000000001
2005-12-27,0.0015339638632950424,0.0021923238632950426,0.0006583600000000001
2005-12-28,-0.007640470215456583,-0.006982110215456583,0.0006583600000000001
2005-12-29,0.008937533930834641,0.009596233930834641,0.0006587
2005-12-30,,,0.0006587
2006-01-02,0.0008680402439023849,0.0015243902439023849,0.00065635
2006-01-03,0.030202873445847128,0.030859223445847128,0.00065635
2006-01-04,0.012690447832720482,0.013346457832720482,0.0006560100000000001
2006-01-05,-0.00254127653676928,-0.0018856065367692798,0.00065567
2006-01-06,0.014772871586901774,0.015428211586901774,0.0006553399999999999
2006-01-09,-0.004545403424947132,-0.003890063424947132,0.0006553399999999999
2006-01-10,-0.008805437631377862,-0.008150097631377862,0.0006553399999999999
2006-01-11,0.025108590497303854,0.025763930497303855,0.0006553399999999999
