ticker_id,company_id,codigo_cvm,codigo_negociacao
484,159,21610,$BVMF3
487,159,21610,$B3SA3
606,1802,21636,$RNEW11
583,3909,21717,$TRPN3
396,27,21725,$021725
398,653,21733,$CIEL3
401,1062,21881,$FLRY3
584,3550,21946,$MPLU3
400,1518,22012,$MILS3
407,1325,22020,$JSLG3
591,1325,22020,$JSLG11
402,1443,22055,$022055
397,35,22179,$AFLT3
488,1681,22187,$PRIO3
410,70,22217,$BRIN3
411,70,22217,$APER3
404,119,22349,$ARZZ3
489,61,22357,$SSBR3
490,61,22357,$ALSO3
403,970,22365,$QGEP3
405,970,22365,$ENAT3
406,2033,22454,$SHOW3
409,1416,22470,$MGLU3
491,1758,22497,$QUAL3
493,1449,22500,$BPHA3
492,2047,22519,$TECN3
585,3868,22551,$SEDU3
408,2004,22594,$STKF3
593,1157,22675,$HBSA3
496,726,22691,$LCAM3
497,2177,22780,$UCAS3
498,1961,22799,$SNSL3
499,1961,22799,$SQIA3
500,307,22845,$BSEV3
586,3201,22853,$22853
424,1376,23035,$LINX3
501,268,23159,$BBSE3
502,1185,23175,$023175
503,1933,23221,$SEER3
504,101,23248,$ANIM3
507,85,23264,$ABEV3
506,1388,23272,$LOGG3
505,1759,23302,$QUSW3
509,846,23310,$CVCB3
508,1621,23426,$OMGE3
510,816,23485,$RLOG3
511,889,23493,$DMMO
512,1632,23507,$OFSA3
515,1258,23574,$23574
517,1258,23574,$MEAL3
513,2255,23590,$WIZS3
516,2262,23604,$YOUC3
514,1414,23612,$MSRO3
518,1545,23825,$MOVI3
520,838,23981,$CTCA3
522,496,24058,$AALR3
521,1251,24090,$PARD3
523,157,24112,$AZUL4
587,3608,24163,$PACF3
524,132,24171,$CRFB3
526,1278,24180,$IRBR3
525,2003,24201,$24201A
527,444,24228,$CAML3
528,1739,24236,$PRNR3
529,1971,24252,$SMLS3
531,1970,24260,$SMFT
609,1970,24260,$SMFT3
532,1253,24279,$INNT3
534,1683,24295,$BRDT3
533,309,24317,$BKBR3
535,1063,24350,$FLEX
536,1591,24384,$GNDI3
539,1151,24392,$HAPV3
537,219,24406,$BIDI4
540,219,24406,$BIDI3
604,219,24406,$BIDI11
542,1734,24546,$PTCA3
543,1734,24546,$PTCA4
544,1734,24546,$PTCA11
549,185,24600,$BMGB4
546,1140,24694,$CNTO3
550,1380,24759,$LTLA
551,1571,24783,$NTCO3
552,2232,24805,$VIVA3
553,423,24848,$CEAB3
556,1526,24902,$MTRE3
555,1387,24910,$LWSA3
557,86,24961,$AMBP3
592,1960,25003,$SIMH3
426,1394,25038,$LJQQ3
425,851,25046,$DMVF3
596,4186,25062,$LAVV3
611,4188,25070,$PLPL3
597,4187,25089,$PETZ3
594,4193,25100,$CURY3
595,4194,25119,$MELK3
600,4206,25232,$CASH3
599,4212,25283,$AERI3
554,1526,90581,$0000
