Id,Nome,Descricao,Ticker,Version,VersionType,ExchangeId,InternalSymbol,InternalCryptoType,CotacaoAtivo,CodigoISINPapel,ElasticSearchId
264,ITAÚ UNIBANCO HOLDING S.A.,NULL,$ITUB3,92,I,5,ITUB3,NULL,1,BRITUBACNOR4,lFRmOXIBooXOYNzvqlo1
265,ITAÚSA INVESTIMENTOS S.A.,NULL,$ITSA4,92,I,5,ITSA4,NULL,1,BRITSAACNPR7,JFRlOXIBooXOYNzvwlUF
266,ITAÚSA INVESTIMENTOS S.A.,NULL,$ITSA3,92,I,5,ITSA3,NULL,1,BRITSAACNOR0,I1RlOXIBooXOYNzvwVXP
267,JBS S.A.,NULL,$JBSS3,92,I,5,JBSS3,NULL,1,BRJBSSACNOR8,glRoOXIBooXOYNzvqma8
268,JHSF PARTICIPAÇÕES S.A.,NULL,$JHSF3,92,I,5,JHSF3,NULL,1,BRJHSFACNOR2,ylRpOXIBooXOYNzvsmyG
269,JOAO FORTES ENGENHARIA S.A.,NULL,$JFEN3,92,I,5,JFEN3,NULL,1,BRJFENACNOR0,hFRpOXIBooXOYNzvrGwr
270,JOSAPAR S.A.,NULL,$JOPA3,92,I,5,JOPA3,NULL,1,BRJOPAACNOR5,EFRpOXIBooXOYNzvwG11
271,JOSAPAR S.A.,NULL,$JOPA4,92,I,5,JOPA4,NULL,1,BRJOPAACNPR2,EVRpOXIBooXOYNzvwG2p
272,JSL S.A.,NULL,$SIMH3,1391,M,5,SIMH3,NULL,1,BRSIMHACNOR0,Q1RpOXIBooXOYNzvym3v
273,KARSTEN S.A.,NULL,$CTKA4,92,I,5,CTKA4,NULL,1,BRCTKAACNPR7,eVNTOXIBooXOYNzveewI
274,KARSTEN S.A.,NULL,$CTKA3,92,I,5,CTKA3,NULL,1,BRCTKAACNOR0,dlNTOXIBooXOYNzvduwt
275,KEPLER WEBER S.A.,NULL,$KEPL3,92,I,5,KEPL3,NULL,1,BRKEPLACNOR1,h1RpOXIBooXOYNzv2G3d
276,KEPLER WEBER S.A.,NULL,$KEPL11,92,I,5,KEPL11,NULL,1,BRKEPLN01M16,hlRpOXIBooXOYNzv2G21
277,KLABIN S.A.,NULL,$KLBN4,92,I,5,KLBN4,NULL,1,BRKLBNACNPR9,31RpOXIBooXOYNzv4m3S
278,KLABIN S.A.,NULL,$KLBN11,92,I,5,KLBN11,NULL,1,BRKLBNCDAM18,3VRpOXIBooXOYNzv4m1m
279,KLABIN S.A.,NULL,$KLBN3,92,I,5,KLBN3,NULL,1,BRKLBNACNOR2,3lRpOXIBooXOYNzv4m2Y
280,KROTON EDUCACIONAL S.A.,NULL,$KROT3,92,I,5,KROT3,NULL,1,BRKROTACNOR9,GVRqOXIBooXOYNzvm3Kw
281,LIGHT S.A.,NULL,$LIGT3,92,I,5,LIGT3,NULL,1,BRLIGTACNOR2,4VRsOXIBooXOYNzvEnqE
282,LINX S.A.,NULL,$LINX3,92,I,5,LINX3,NULL,1,BRLINXACNOR0,SVRsOXIBooXOYNzvdH3w
283,LOCALIZA RENT A CAR S.A.,NULL,$RENT3,92,I,5,RENT3,NULL,1,BRRENTACNOR4,2FR9OXIBooXOYNzvPtwE
