codigo_cvm,ticker_id,codigo_negociacao,data_referencia,ordinarias,preferenciais,totais
6041,99,$FIGE4,2011-09-30,792,1572,2364
6041,99,$FIGE4,2011-12-31,792,1572,2364
6041,99,$FIGE4,2012-03-31,792,1572,2364
6041,99,$FIGE4,2012-06-30,792,1572,2364
6041,99,$FIGE4,2012-09-30,792,1572,2364
6041,99,$FIGE4,2012-12-31,792,1572,2364
6041,99,$FIGE4,2013-03-31,792,1572,2364
6041,99,$FIGE4,2013-06-30,792,1572,2364
6041,99,$FIGE4,2013-09-30,792,1572,2364
6041,99,$FIGE4,2013-12-31,792,1572,2364
6041,99,$FIGE4,2014-03-31,792,1572,2364
6041,99,$FIGE4,2014-06-30,792,1572,2364
6041,99,$FIGE4,2014-09-30,792,1572,2364
6041,99,$FIGE4,2014-12-31,792,1572,2364
6041,99,$FIGE4,2015-03-31,792,1572,2364
6041,99,$FIGE4,2015-06-30,792,1572,2364
6041,99,$FIGE4,2015-09-30,792,1572,2364
6041,99,$FIGE4,2015-12-31,792,1572,2364
6041,99,$FIGE4,2016-03-31,792,1572,2364
6041,99,$FIGE4,2016-06-30,792,1572,2364
6041,99,$FIGE4,2016-09-30,792,1572,2364
6041,99,$FIGE4,2016-12-31,792,1572,2364
6041,99,$FIGE4,2017-03-31,792,1572,2364
6041,99,$FIGE4,2017-06-30,792,1572,2364
6041,99,$FIGE4,2017-09-30,792,1572,2364
6041,99,$FIGE4,2017-12-31,792,1572,2364
6041,99,$FIGE4,2018-03-31,792,1572,2364
6041,99,$FIGE4,2018-06-30,792,1572,2364
6041,99,$FIGE4,2018-09-30,792,1572,2364
6041,99,$FIGE4,2018-12-31,792,1572,2364
6041,99,$FIGE4,2019-03-31,792,1572,2364
6041,99,$FIGE4,2019-06-30,792,1572,2364
6041,99,$FIGE4,2019-09-30,792,1572,2364
6041,99,$FIGE4,2019-12-31,792,1572,2364
6041,99,$FIGE4,2020-03-31,792,1572,2364
6041,99,$FIGE4,2020-06-30,792,1572,2364
6041,99,$FIGE4,2020-09-30,792,1572,2364
6076,101,$FNCN3,2010-12-31,913,0,913
6076,101,$FNCN3,2011-03-31,913,0,913
6076,101,$FNCN3,2011-06-30,913,0,913
6076,101,$FNCN3,2011-09-30,913,0,913
6076,101,$FNCN3,2011-12-31,913,0,913
6076,101,$FNCN3,2012-03-31,913,0,913
6076,101,$FNCN3,2012-06-30,913,0,913
6076,101,$FNCN3,2012-09-30,913,0,913
6076,101,$FNCN3,2012-12-31,913,0,913
6076,101,$FNCN3,2013-03-31,913,0,913
6076,101,$FNCN3,2013-06-30,913,0,913
6076,101,$FNCN3,2013-09-30,913,0,913
6076,101,$FNCN3,2013-12-31,913,0,913
6076,101,$FNCN3,2014-03-31,913,0,913
6076,101,$FNCN3,2014-06-30,913,0,913
6076,101,$FNCN3,2014-09-30,913,0,913
6076,101,$FNCN3,2014-12-31,913,0,913
6076,101,$FNCN3,2015-03-31,913,0,913
