,codigo_cvm,ticker,sector_id,data_referencia,demonstrativo_id,nome_demonstrativo,ativos,receita,custos,ROE,ROA,depreciacao,wc,capex
22434,21121,SULA11,3,2016-12-31,21457,dfp,21808563,16274044,-901,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22435,21121,SULA11,3,2016-12-31,21457,dfp,21808563,16274044,-32492,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22436,21121,SULA11,3,2016-12-31,21457,dfp,21808563,16274044,-8745,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22437,21121,SULA11,3,2016-12-31,21457,dfp,21808563,16274044,-4062,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22438,21121,SULA11,3,2016-12-31,21457,dfp,21808563,16274044,-1473,0.140555,0.0326409,1743000.0,-75800000.0,6313000.0
22439,21121,SULA11,3,2017-03-31,21482,itr,21985836,4275018,-3858397,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22440,21121,SULA11,3,2017-03-31,21482,itr,21985836,4275018,-3239344,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22441,21121,SULA11,3,2017-03-31,21482,itr,21985836,4275018,-443078,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22442,21121,SULA11,3,2017-03-31,21482,itr,21985836,4275018,-130715,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22443,21121,SULA11,3,2017-03-31,21482,itr,21985836,4275018,-23477,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22444,21121,SULA11,3,2017-03-31,21482,itr,21985836,4275018,-7442,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22445,21121,SULA11,3,2017-03-31,21482,itr,21985836,4275018,-347,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22446,21121,SULA11,3,2017-03-31,21482,itr,21985836,4275018,-10721,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22447,21121,SULA11,3,2017-03-31,21482,itr,21985836,4275018,-2115,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22448,21121,SULA11,3,2017-03-31,21482,itr,21985836,4275018,-1149,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22449,21121,SULA11,3,2017-03-31,21482,itr,21985836,4275018,-9,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22450,21121,SULA3,3,2017-03-31,21482,itr,21985836,4275018,-3858397,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22451,21121,SULA3,3,2017-03-31,21482,itr,21985836,4275018,-3239344,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22452,21121,SULA3,3,2017-03-31,21482,itr,21985836,4275018,-443078,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22453,21121,SULA3,3,2017-03-31,21482,itr,21985836,4275018,-130715,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22454,21121,SULA3,3,2017-03-31,21482,itr,21985836,4275018,-23477,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22455,21121,SULA3,3,2017-03-31,21482,itr,21985836,4275018,-7442,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22456,21121,SULA3,3,2017-03-31,21482,itr,21985836,4275018,-347,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22457,21121,SULA3,3,2017-03-31,21482,itr,21985836,4275018,-10721,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
22458,21121,SULA3,3,2017-03-31,21482,itr,21985836,4275018,-2115,0.140774,0.0329162,1145000.0,-173104000.0,15285000.0
